sid,tomato,cabbage,eggplant,greens,peppers,pulses,onion,nuts,banana,melon,passion,taro,potato,onion,beans,cane,sunflower,papaya,pineapple,rice
1f21168b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3add9f99,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8a2fbdd4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d5de23f2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2d5c3064,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12709cd4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ff2772b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502f8705,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7f7039cd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c7b2a89d,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9c6cc0c3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23b904a4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b780240b,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
957e4774,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7ee4b82c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7c727fc1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0785873a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a8fa541b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b5898412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195b3d45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21a7c381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57da15a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35f7671a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abe893d5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6ebe7647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82409d1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5c02920c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b34bcd36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
