sid,lon,lat,date,s2,s3,ir0,ir1,ir2,ws1,ws2
c8063bae,31.7793283,3.4187683,2023-01-10 12:08:04.149000+03:00,22,70,both_irrigated_non-irrigated,no,,no,
52e9c2ce,33.1183799,0.6226194,2023-01-10 12:12:07.561000+03:00,4,30,irrigated,no,,yes,borehole
745997e7,30.6525752,0.6612144,2023-01-10 12:20:42.320000+03:00,15,40,non-irrigated,no,,yes,surface_water
d5509c20,34.0223267,1.29386,2023-01-10 12:23:28.786000+03:00,15,20,irrigated,yes,green_crops_ds,no,
aa421f65,34.2531554,0.7505048,2023-01-10 12:27:32.845000+03:00,20,45,irrigated,yes,pump_slr irrig_ev_struct_equip_oth,yes,surface_water shallow_well
b8e6e0be,34.0223267,1.29386,2023-01-10 12:30:38.519000+03:00,40,60,irrigated,yes,green_crops_ds,no,
a64fc7fb,30.6872702,0.6415323,2023-01-10 12:34:15.030000+03:00,17,20,irrigated,yes,green_crops_ds,no,
1991a2f0,34.0220376,1.2952578,2023-01-10 12:34:42.284000+03:00,10,20,irrigated,yes,drip_irrigation_equip,no,
3975cc40,34.2532124,0.7505049,2023-01-10 12:40:07.867000+03:00,25,30,non-irrigated,yes,wet_ground_ds green_crops_ds furrows_canals irrig_ev_struct_equip_oth pump_slr,yes,surface_water shallow_well
73076714,33.0901829,0.6792297,2023-01-10 12:41:12.829000+03:00,25,35,both_irrigated_non-irrigated,yes,furrows_canals pump_manual,yes,shallow_well surface_water
e41f8f17,34.2538467,0.7503411,2023-01-10 12:50:42.978000+03:00,40,60,irrigated,yes,furrows_canals,yes,surface_water
6092c5f9,31.7825083,3.4163517,2023-01-10 12:51:59.933000+03:00,10,20,irrigated,no,,no,
578ae5d8,31.78119,3.4196491,2023-01-10 13:03:35.378000+03:00,30,80,both_irrigated_non-irrigated,no,,yes,borehole
1ffa91aa,33.1124948,0.629917,2023-01-10 13:25:13.557000+03:00,12,20,irrigated,no,,no,
6f749129,33.1124665,0.6309753,2023-01-10 13:36:29.914000+03:00,6,30,irrigated,no,,no,
cfccb639,31.7735783,3.4253367,2023-01-10 13:52:40.052000+03:00,35,80,both_irrigated_non-irrigated,no,,no,
6dca18cd,33.0887209,0.67941,2023-01-10 13:53:44.534000+03:00,20,110,both_irrigated_non-irrigated,yes,wet_ground_ds furrows_canals pump_manual,yes,surface_water
58478c24,33.1116838,0.6303561,2023-01-10 13:54:22.082000+03:00,7,30,irrigated,no,,no,
a398822e,34.014525,1.2849633,2023-01-10 13:56:53.739000+03:00,30,110,irrigated,yes,pump_manual,no,
e6f60d75,33.1101933,0.63224,2023-01-10 14:04:39.156000+03:00,4,16,irrigated,no,,no,
344d4da0,34.015084,1.2858984,2023-01-10 14:05:44.918000+03:00,40,70,irrigated,no,,no,
5383fa61,33.0883229,0.678954,2023-01-10 14:06:13.682000+03:00,70,150,non-irrigated,yes,wet_ground_ds furrows_canals pump_manual,yes,surface_water
51125432,33.110306,0.6320677,2023-01-10 14:07:54.216000+03:00,8,11,irrigated,no,,no,
134da289,34.0152151,1.2859977,2023-01-10 14:08:56.097000+03:00,10,15,irrigated,yes,green_crops_ds,no,
3b83419d,33.110236,0.6325732,2023-01-10 14:13:32.139000+03:00,4,12,irrigated,no,,yes,shallow_well
426cd858,34.0181767,1.2837517,2023-01-10 14:17:57.284000+03:00,10,15,irrigated,yes,pump_manual,no,
451b910c,33.1034765,0.6418361,2023-01-10 14:31:13.457000+03:00,10,20,irrigated,no,,no,
005d1a03,32.9950517,0.3073033,2023-01-10 15:00:03.346000+03:00,40,40,irrigated,no,,no,
411239d0,31.7626467,3.444355,2023-01-10 15:10:06.179000+03:00,100,120,both_irrigated_non-irrigated,no,,no,
73aea7fc,32.9961,0.3080267,2023-01-10 15:11:38.493000+03:00,80,150,irrigated,no,,no,
e16e4ad0,31.762676,3.4447407,2023-01-10 15:13:00.839000+03:00,10,120,both_irrigated_non-irrigated,no,,no,
470dac80,31.7628277,3.444812,2023-01-10 15:14:44.204000+03:00,6,70,both_irrigated_non-irrigated,no,,no,
2220a1e9,33.1048884,0.6835799,2023-01-10 15:21:01.177000+03:00,6,32,irrigated,no,,no,
b1221a68,33.000925,0.3093983,2023-01-10 15:26:14.663000+03:00,90,100,irrigated,yes,tank water_lines,yes,surface_water
fb3110ac,34.011135,1.3069483,2023-01-10 15:28:46.136000+03:00,20,55,irrigated,no,,no,
64ed14ce,33.1060578,0.6869486,2023-01-10 15:31:15.376000+03:00,100,40,irrigated,no,,no,
